timestamp,date,time,hour,violation_type,violation_id,vehicle_id,vehicle_type,license_plate,lane,traffic_signal,speed,location_x,location_y
2026-01-22T20:19:23.205700,2026-01-22,20:19:23,20,ILLEGAL_TURN,10,114,SMALL,N/A,LANE1,RED,59.46,568,243
2026-01-22T20:19:25.755511,2026-01-22,20:19:25,20,RED_LIGHT_VIOLATION,11,120,SMALL,N/A,LANE4,RED,4.37,504,326
2026-01-22T20:19:25.756515,2026-01-22,20:19:25,20,RED_LIGHT_VIOLATION,12,130,SMALL,N/A,LANE4,RED,46.58,479,405
2026-01-22T20:19:29.236617,2026-01-22,20:19:29,20,ILLEGAL_TURN,13,134,SMALL,N/A,LANE2,RED,19.08,827,647
2026-01-23T17:58:41.633054,2026-01-23,17:58:41,17,ILLEGAL_TURN,1,14,SMALL,N/A,LANE1,GREEN,271.01,554,296
2026-01-23T17:58:41.798926,2026-01-23,17:58:41,17,ILLEGAL_TURN,2,26,SMALL,N/A,LANE2,GREEN,129.3,944,669
2026-01-23T17:58:41.861941,2026-01-23,17:58:41,17,ILLEGAL_TURN,3,18,SMALL,N/A,LANE2,GREEN,81.26,841,551
2026-01-23T17:58:41.980492,2026-01-23,17:58:41,17,RED_LIGHT_VIOLATION,4,14,SMALL,N/A,LANE1,RED,102.54,575,317
2026-01-23T17:58:42.048084,2026-01-23,17:58:42,17,RED_LIGHT_VIOLATION,5,16,SMALL,N/A,LANE1,RED,83.26,531,296
2026-01-23T17:58:42.255912,2026-01-23,17:58:42,17,ILLEGAL_TURN,6,27,SMALL,N/A,LANE2,GREEN,378.47,914,612
2026-01-23T17:58:46.841041,2026-01-23,17:58:46,17,ILLEGAL_TURN,7,92,SMALL,N/A,LANE2,RED,88.71,740,660
2026-01-23T17:58:46.999122,2026-01-23,17:58:46,17,RED_LIGHT_VIOLATION,8,75,SMALL,N/A,LANE1,RED,11.41,545,290
2026-01-23T17:58:49.953741,2026-01-23,17:58:49,17,RED_LIGHT_VIOLATION,9,88,SMALL,N/A,LANE1,RED,321.49,443,287
2026-01-23T17:58:51.416819,2026-01-23,17:58:51,17,RED_LIGHT_VIOLATION,10,113,SMALL,N/A,LANE1,RED,34.77,411,286
2026-01-23T17:58:54.739524,2026-01-23,17:58:54,17,RED_LIGHT_VIOLATION,11,136,SMALL,N/A,LANE1,RED,67.2,536,286
2026-01-23T17:58:54.739524,2026-01-23,17:58:54,17,ILLEGAL_TURN,12,136,SMALL,N/A,LANE1,RED,67.2,536,286
2026-01-23T17:58:54.939576,2026-01-23,17:58:54,17,ILLEGAL_TURN,13,88,SMALL,N/A,LANE1,RED,41.62,433,289
2026-01-23T17:59:32.207765,2026-01-23,17:59:32,17,ILLEGAL_TURN,14,194,SMALL,N/A,LANE2,RED,66.49,735,684
2026-01-23T17:59:34.317895,2026-01-23,17:59:34,17,RED_LIGHT_VIOLATION,15,188,SMALL,N/A,LANE1,RED,95.11,507,293
2026-01-23T17:59:34.591006,2026-01-23,17:59:34,17,RED_LIGHT_VIOLATION,16,215,SMALL,N/A,LANE4,RED,36.4,458,390
2026-01-23T17:59:37.839732,2026-01-23,17:59:37,17,ILLEGAL_TURN,17,187,SMALL,N/A,LANE4,RED,124.33,359,515
2026-01-23T17:59:40.828676,2026-01-23,17:59:40,17,ILLEGAL_TURN,18,186,SMALL,N/A,LANE1,RED,25.09,543,280
2026-01-23T17:59:40.969068,2026-01-23,17:59:40,17,ILLEGAL_TURN,19,296,SMALL,N/A,LANE2,RED,35.04,784,701
2026-01-23T17:59:43.084544,2026-01-23,17:59:43,17,ILLEGAL_TURN,20,284,MEDIUM,N/A,LANE2,RED,101.42,766,643
2026-01-23T17:59:43.084544,2026-01-23,17:59:43,17,ILLEGAL_TURN,21,301,SMALL,N/A,LANE2,RED,34.21,638,604
2026-01-23T17:59:43.145793,2026-01-23,17:59:43,17,ILLEGAL_TURN,22,312,SMALL,N/A,LANE1,RED,115.3,539,277
2026-01-23T17:59:45.869133,2026-01-23,17:59:45,17,ILLEGAL_TURN,23,326,SMALL,N/A,LANE1,RED,94.35,428,288
2026-01-23T18:00:03.692415,2026-01-23,18:00:03,18,ILLEGAL_TURN,24,393,SMALL,N/A,LANE2,RED,274.63,662,560
2026-01-23T18:00:09.237990,2026-01-23,18:00:09,18,ILLEGAL_TURN,25,482,SMALL,N/A,LANE2,RED,103.66,653,565
2026-01-23T18:00:09.858206,2026-01-23,18:00:09,18,ILLEGAL_TURN,26,434,SMALL,N/A,LANE1,RED,15.07,542,7
2026-01-23T18:00:11.940906,2026-01-23,18:00:11,18,ILLEGAL_TURN,27,462,SMALL,N/A,LANE1,RED,117.86,342,6
2026-01-23T18:00:50.196394,2026-01-23,18:00:50,18,ILLEGAL_TURN,1,27,MEDIUM,N/A,LANE2,RED,73.06,894,492
2026-01-23T18:00:51.226472,2026-01-23,18:00:51,18,ILLEGAL_TURN,2,33,SMALL,N/A,LANE1,RED,49.67,535,243
2026-01-23T18:00:51.400329,2026-01-23,18:00:51,18,RED_LIGHT_VIOLATION,3,35,SMALL,N/A,LANE4,RED,37.48,500,416
2026-01-23T18:00:56.648934,2026-01-23,18:00:56,18,RED_LIGHT_VIOLATION,4,44,SMALL,N/A,LANE1,RED,444.0,494,275
2026-01-23T18:00:58.405770,2026-01-23,18:00:58,18,ILLEGAL_TURN,5,54,SMALL,N/A,LANE2,RED,15.06,685,578
2026-01-23T18:00:58.491206,2026-01-23,18:00:58,18,ILLEGAL_TURN,6,44,SMALL,N/A,LANE1,RED,71.9,460,282
2026-01-23T18:00:58.602608,2026-01-23,18:00:58,18,ILLEGAL_TURN,7,46,SMALL,N/A,LANE2,RED,275.06,710,584
2026-01-23T18:00:58.982006,2026-01-23,18:00:58,18,ILLEGAL_TURN,8,49,SMALL,N/A,LANE2,RED,69.4,768,602
2026-01-23T18:00:58.983127,2026-01-23,18:00:58,18,ILLEGAL_TURN,9,52,SMALL,N/A,LANE1,RED,98.37,524,245
2026-01-23T18:00:59.800646,2026-01-23,18:00:59,18,ILLEGAL_TURN,10,57,LARGE,N/A,LANE1,RED,58.81,480,218
2026-01-23T18:01:00.515666,2026-01-23,18:01:00,18,RED_LIGHT_VIOLATION,11,52,SMALL,N/A,LANE4,RED,241.27,500,325
2026-01-23T18:01:01.238716,2026-01-23,18:01:01,18,ILLEGAL_TURN,12,61,SMALL,N/A,LANE2,RED,77.03,662,660
2026-01-23T18:01:09.602202,2026-01-23,18:01:09,18,ILLEGAL_TURN,13,100,SMALL,N/A,LANE2,RED,5.7,848,477
2026-01-23T18:01:09.793446,2026-01-23,18:01:09,18,ILLEGAL_TURN,14,108,SMALL,N/A,LANE1,RED,25.66,397,277
2026-01-23T18:01:10.325604,2026-01-23,18:01:10,18,RED_LIGHT_VIOLATION,15,98,SMALL,N/A,LANE4,RED,281.85,500,360
2026-01-23T18:01:10.813311,2026-01-23,18:01:10,18,ILLEGAL_TURN,16,129,LARGE,N/A,LANE2,RED,71.99,702,644
2026-01-23T18:07:46.248513,2026-01-23,18:07:46,18,ILLEGAL_TURN,1,12,SMALL,N/A,LANE1,RED,240.36,482,279
2026-01-23T18:07:47.506345,2026-01-23,18:07:47,18,ILLEGAL_TURN,2,24,SMALL,N/A,LANE2,RED,122.3,778,671
2026-01-23T18:07:55.572327,2026-01-23,18:07:55,18,ILLEGAL_TURN,3,47,SMALL,N/A,LANE2,RED,56.67,797,661
2026-01-23T18:09:26.713003,2026-01-23,18:09:26,18,ILLEGAL_TURN,1,10,SMALL,N/A,LANE2,RED,137.53,744,656
2026-01-23T18:09:27.153926,2026-01-23,18:09:27,18,ILLEGAL_TURN,2,12,SMALL,N/A,LANE2,RED,66.73,661,642
2026-01-23T18:09:31.870701,2026-01-23,18:09:31,18,ILLEGAL_TURN,3,16,SMALL,N/A,LANE2,RED,90.37,779,665
2026-01-23T18:10:04.836250,2026-01-23,18:10:04,18,ILLEGAL_TURN,4,45,SMALL,N/A,LANE1,RED,22.49,606,228
2026-01-23T18:11:04.548621,2026-01-23,18:11:04,18,ILLEGAL_TURN,1,9,SMALL,N/A,LANE1,GREEN,80.32,653,240
2026-01-23T18:13:03.524105,2026-01-23,18:13:03,18,ILLEGAL_TURN,1,8,SMALL,N/A,LANE1,GREEN,84.02,585,227
2026-01-23T18:13:34.744492,2026-01-23,18:13:34,18,ILLEGAL_TURN,1,10,SMALL,N/A,LANE1,GREEN,25.29,565,238
2026-01-23T18:13:34.977517,2026-01-23,18:13:34,18,ILLEGAL_TURN,2,12,SMALL,N/A,LANE2,GREEN,82.67,684,627
2026-01-23T18:13:35.991082,2026-01-23,18:13:35,18,ILLEGAL_TURN,3,11,SMALL,N/A,LANE1,GREEN,7.91,623,230
2026-01-23T18:13:35.992069,2026-01-23,18:13:35,18,ILLEGAL_TURN,4,14,SMALL,N/A,LANE2,GREEN,16.98,885,670
2026-01-23T18:13:56.775592,2026-01-23,18:13:56,18,ILLEGAL_TURN,1,7,MEDIUM,N/A,LANE1,GREEN,90.94,613,297
2026-01-23T18:13:56.860197,2026-01-23,18:13:56,18,ILLEGAL_TURN,2,8,SMALL,N/A,LANE1,GREEN,23.47,641,207
2026-01-23T18:13:56.901793,2026-01-23,18:13:56,18,ILLEGAL_TURN,3,5,SMALL,N/A,LANE1,GREEN,115.88,549,198
2026-01-23T18:14:00.912115,2026-01-23,18:14:00,18,ILLEGAL_TURN,4,17,SMALL,N/A,LANE2,RED,107.01,867,656
2026-01-23T18:15:19.571565,2026-01-23,18:15:19,18,ILLEGAL_TURN,1,1,LARGE,N/A,LANE2,RED,62.95,646,656
2026-01-23T18:15:21.339457,2026-01-23,18:15:21,18,ILLEGAL_TURN,2,30,SMALL,N/A,LANE2,GREEN,74.52,692,626
2026-01-23T18:15:23.013316,2026-01-23,18:15:23,18,ILLEGAL_TURN,3,41,SMALL,N/A,LANE2,GREEN,104.06,634,524
