timestamp,event_type,event_id,lane,vehicle_id,vehicle_type,license_plate,description,location
2026-02-15T16:56:08.571865,ACCIDENT,94,LANE2,16,MEDIUM,N/A,"Collision detected between vehicles (IDs: 16, 62) in LANE2","(704, 436)"
2026-02-15T16:56:10.123020,ACCIDENT,99,LANE4,55,SMALL,N/A,"Collision detected between vehicles (IDs: 55, 64) in LANE4","(466, 334)"
2026-02-15T16:57:11.103759,ACCIDENT,104,LANE4,72,MEDIUM,N/A,"Collision detected between vehicles (IDs: 72, 73) in LANE4","(290, 368)"
2026-02-15T16:58:19.982205,ACCIDENT,1,INTERSECTION,3,MEDIUM,N/A,"Collision detected between vehicles (IDs: 3, 5) in INTERSECTION","(521, 363)"
2026-02-15T16:58:25.341684,ACCIDENT,6,LANE4,8,LARGE,N/A,"Collision detected between vehicles (IDs: 8, 9) in LANE4","(307, 353)"
2026-02-15T17:08:30.992479,ACCIDENT,11,LANE2,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 57) in LANE2","(643, 499)"
2026-02-15T17:08:31.000329,ACCIDENT,12,LANE2,57,LARGE,N/A,"Collision detected between vehicles (IDs: 57, 58) in LANE2","(647, 499)"
2026-02-15T17:09:12.682761,ACCIDENT,1,UNKNOWN,4,MEDIUM,N/A,"Collision detected between vehicles (IDs: 4, 6) in None","(411, 118)"
2026-02-15T17:09:18.364682,ACCIDENT,6,LANE4,8,LARGE,N/A,"Collision detected between vehicles (IDs: 8, 9) in LANE4","(308, 353)"
2026-02-15T17:09:19.368526,ACCIDENT,11,LANE2,1,MEDIUM,N/A,"Collision detected between vehicles (IDs: 1, 10) in LANE2","(679, 628)"
2026-02-15T17:09:47.129923,RED_LIGHT_VIOLATION,1,LANE3,3,LARGE,N/A,Vehicle 3 ran red light in LANE3,"(712, 348)"
2026-02-15T17:09:49.582672,ACCIDENT,16,UNKNOWN,11,LARGE,N/A,"Collision detected between vehicles (IDs: 11, 13) in None","(1021, 471)"
2026-02-15T17:09:49.583172,ACCIDENT,17,UNKNOWN,11,LARGE,N/A,"Collision detected between vehicles (IDs: 11, 14) in None","(1021, 471)"
2026-02-15T17:09:49.696833,ACCIDENT,21,LANE3,12,MEDIUM,N/A,"Collision detected between vehicles (IDs: 12, 16) in LANE3","(927, 374)"
2026-02-15T17:09:54.602952,ACCIDENT,49,LANE3,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 19) in LANE3","(770, 342)"
2026-02-15T17:10:16.332778,ACCIDENT,1,LANE1,5,SMALL,N/A,"Collision detected between vehicles (IDs: 5, 7) in LANE1","(667, 71)"
2026-02-15T17:10:19.897061,ACCIDENT,6,INTERSECTION,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 4) in INTERSECTION","(719, 396)"
2026-02-15T17:10:21.916228,ACCIDENT,11,UNKNOWN,9,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 9, 10) in None","(756, 438)"
2026-02-15T17:10:37.852431,ACCIDENT,2,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(756, 438)"
2026-02-15T17:10:37.292410,ACCIDENT,1,LANE1,6,SMALL,N/A,"Collision detected between vehicles (IDs: 6, 7) in LANE1","(669, 52)"
2026-02-15T17:10:47.885846,ACCIDENT,11,UNKNOWN,9,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 9, 10) in None","(731, 531)"
2026-02-15T17:10:50.107904,ACCIDENT,1,INTERSECTION,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 4) in INTERSECTION","(717, 393)"
2026-02-15T17:10:51.786595,ACCIDENT,6,LANE1,5,SMALL,N/A,"Collision detected between vehicles (IDs: 5, 6) in LANE1","(669, 52)"
2026-02-15T17:10:58.029506,ACCIDENT,11,LANE3,9,MEDIUM,N/A,"Collision detected between vehicles (IDs: 9, 10) in LANE3","(872, 305)"
2026-02-15T17:11:00.139563,ACCIDENT,1,INTERSECTION,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 4) in INTERSECTION","(723, 393)"
2026-02-15T17:11:00.140857,ACCIDENT,2,LANE1,7,SMALL,N/A,"Collision detected between vehicles (IDs: 7, 8) in LANE1","(669, 52)"
2026-02-15T17:11:01.707129,ACCIDENT,11,LANE3,5,SMALL,N/A,"Collision detected between vehicles (IDs: 5, 6) in LANE3","(863, 333)"
2026-02-15T17:11:11.853988,ACCIDENT,16,LANE1,7,SMALL,N/A,"Collision detected between vehicles (IDs: 7, 9) in LANE1","(667, 72)"
2026-02-15T17:11:13.964620,ACCIDENT,21,LANE3,5,SMALL,N/A,"Collision detected between vehicles (IDs: 5, 10) in LANE3","(853, 335)"
2026-02-15T17:11:20.427986,ACCIDENT,1,INTERSECTION,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 4) in INTERSECTION","(723, 394)"
2026-02-15T17:11:23.228153,ACCIDENT,10,LANE3,5,SMALL,N/A,"Collision detected between vehicles (IDs: 5, 9) in LANE3","(863, 333)"
2026-02-15T17:11:23.228431,ACCIDENT,11,LANE3,6,MEDIUM,N/A,"Collision detected between vehicles (IDs: 6, 9) in LANE3","(863, 333)"
2026-02-15T17:11:24.247669,ACCIDENT,21,LANE1,8,MEDIUM,N/A,"Collision detected between vehicles (IDs: 8, 11) in LANE1","(667, 72)"
2026-02-15T17:11:24.558050,ACCIDENT,24,LANE1,7,SMALL,N/A,"Collision detected between vehicles (IDs: 7, 11) in LANE1","(667, 71)"
2026-02-15T17:11:41.388875,ACCIDENT,1,LANE3,4,SMALL,N/A,"Collision detected between vehicles (IDs: 4, 5) in LANE3","(887, 346)"
2026-02-15T17:11:43.965773,ACCIDENT,6,INTERSECTION,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 6) in INTERSECTION","(711, 393)"
2026-02-15T17:11:43.968358,ACCIDENT,8,LANE1,7,SMALL,N/A,"Collision detected between vehicles (IDs: 7, 11) in LANE1","(667, 72)"
2026-02-15T17:11:43.968637,ACCIDENT,9,LANE1,8,MEDIUM,N/A,"Collision detected between vehicles (IDs: 8, 11) in LANE1","(667, 72)"
2026-02-15T17:11:52.766589,ACCIDENT,22,LANE3,4,SMALL,N/A,"Collision detected between vehicles (IDs: 4, 10) in LANE3","(853, 349)"
2026-02-15T17:11:59.453381,RED_LIGHT_VIOLATION,1,LANE3,6,LARGE,N/A,Vehicle 6 ran red light in LANE3,"(717, 344)"
2026-02-15T17:12:02.686891,ACCIDENT,1,INTERSECTION,5,LARGE,N/A,"Collision detected between vehicles (IDs: 5, 6) in INTERSECTION","(711, 393)"
2026-02-15T17:12:02.687266,ACCIDENT,2,LANE1,7,SMALL,N/A,"Collision detected between vehicles (IDs: 7, 8) in LANE1","(669, 110)"
2026-02-15T17:12:03.916779,ACCIDENT,11,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 9) in LANE3","(852, 349)"
2026-02-15T17:12:09.262003,ACCIDENT,1,INTERSECTION,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 5) in INTERSECTION","(711, 393)"
2026-02-15T17:12:12.047124,ACCIDENT,7,LANE3,4,MEDIUM,N/A,"Collision detected between vehicles (IDs: 4, 7) in LANE3","(852, 349)"
2026-02-15T17:12:17.963658,ACCIDENT,12,LANE4,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 2) in LANE4","(318, 354)"
2026-02-15T17:12:18.190246,ACCIDENT,15,UNKNOWN,6,LARGE,N/A,"Collision detected between vehicles (IDs: 6, 10) in None","(779, 488)"
2026-02-15T17:12:19.630654,ACCIDENT,22,UNKNOWN,11,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 11, 12) in None","(815, 122)"
2026-02-15T17:12:22.078765,ACCIDENT,1,LANE3,5,LARGE,N/A,"Collision detected between vehicles (IDs: 5, 6) in LANE3","(711, 393)"
2026-02-15T17:12:23.759047,ACCIDENT,6,LANE4,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 3) in LANE4","(318, 354)"
2026-02-15T17:12:24.878839,ACCIDENT,11,LANE3,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 7) in LANE3","(863, 346)"
2026-02-15T17:12:32.446313,ACCIDENT,16,UNKNOWN,4,LARGE,N/A,"Collision detected between vehicles (IDs: 4, 10) in None","(788, 533)"
2026-02-15T17:12:33.229794,ACCIDENT,21,INTERSECTION,11,LARGE,N/A,"Collision detected between vehicles (IDs: 11, 16) in INTERSECTION","(530, 362)"
2026-02-15T17:12:34.463246,RED_LIGHT_VIOLATION,1,LANE4,3,LARGE,N/A,Vehicle 3 ran red light in LANE4,"(508, 339)"
2026-02-15T17:12:35.568638,ACCIDENT,30,UNKNOWN,14,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 14, 18) in None","(802, 123)"
2026-02-15T17:12:36.463230,ACCIDENT,36,LANE4,17,SMALL,N/A,"Collision detected between vehicles (IDs: 17, 19) in LANE4","(378, 347)"
2026-02-15T17:12:37.919287,ACCIDENT,1,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 3) in LANE3","(806, 345)"
2026-02-15T17:12:47.840807,ACCIDENT,1,LANE3,2,SMALL,N/A,"Collision detected between vehicles (IDs: 2, 3) in LANE3","(863, 346)"
2026-02-15T17:12:50.735331,RED_LIGHT_VIOLATION,1,LANE2,1,LARGE,N/A,Vehicle 1 ran red light in LANE2,"(684, 419)"
2026-02-15T17:12:52.850043,ACCIDENT,12,UNKNOWN,6,LARGE,N/A,"Collision detected between vehicles (IDs: 6, 9) in None","(770, 478)"
2026-02-15T17:12:53.518716,ACCIDENT,17,LANE4,5,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 5, 10) in LANE4","(361, 358)"
2026-02-15T17:12:50.733673,ACCIDENT,9,LANE3,2,SMALL,N/A,"Collision detected between vehicles (IDs: 2, 7) in LANE3","(851, 349)"
2026-02-15T17:12:55.424856,ACCIDENT,24,INTERSECTION,11,MEDIUM,N/A,"Collision detected between vehicles (IDs: 11, 14) in INTERSECTION","(486, 364)"
2026-02-15T17:12:57.983163,ACCIDENT,1,LANE3,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 5) in LANE3","(793, 347)"
2026-02-15T17:13:06.336542,RED_LIGHT_VIOLATION,1,LANE2,1,LARGE,N/A,Vehicle 1 ran red light in LANE2,"(686, 417)"
2026-02-15T17:13:08.246788,RED_LIGHT_VIOLATION,2,LANE3,3,LARGE,N/A,Vehicle 3 ran red light in LANE3,"(697, 345)"
2026-02-15T17:13:07.904762,ACCIDENT,6,UNKNOWN,4,LARGE,N/A,"Collision detected between vehicles (IDs: 4, 10) in None","(795, 491)"
2026-02-15T17:13:08.804091,RED_LIGHT_VIOLATION,3,LANE2,7,SMALL,N/A,Vehicle 7 ran red light in LANE2,"(521, 436)"
2026-02-15T17:13:09.455681,ACCIDENT,13,INTERSECTION,9,MEDIUM,N/A,"Collision detected between vehicles (IDs: 9, 12) in INTERSECTION","(524, 374)"
2026-02-15T17:13:10.688565,ACCIDENT,22,UNKNOWN,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 13) in None","(734, 481)"
2026-02-15T17:13:10.801065,ACCIDENT,24,LANE4,7,SMALL,N/A,"Collision detected between vehicles (IDs: 7, 15) in LANE4","(477, 392)"
2026-02-15T17:13:13.586439,ACCIDENT,34,INTERSECTION,18,SMALL,N/A,"Collision detected between vehicles (IDs: 18, 20) in INTERSECTION","(713, 377)"
2026-02-15T17:13:14.369408,ACCIDENT,1,UNKNOWN,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 2) in None","(436, 443)"
2026-02-15T17:13:19.824787,ACCIDENT,1,UNKNOWN,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 2) in None","(436, 443)"
2026-02-15T17:13:21.060085,ACCIDENT,9,LANE3,6,LARGE,N/A,"Collision detected between vehicles (IDs: 6, 7) in LANE3","(793, 347)"
